"tag","text"
"real","#Saudi Arabia will maintain longterm commitment to sustain idle #oil capacity to meet any unexpected demand requirements, Al Falih tells #ACEnergyForum #OOTT #OPEC @gulf_intel https://t.co/Ey5ev0WOYl"
"real","Breaking: Saudi official confirms the news about the shooting at the King's Palace is incorrect and it's just rumor… https://t.co/xQqc8i4YQ9"
"fake","At Long Last, End the War on #Yemen -- And stop arming #Saudi Arabia -- Take Action with @Roots_Action https://t.co/bKxXtMEHvt https://t.co/p50iE5hJnA #SuperBowl #JordanPeele #TheTwilightZone #SBLIII #HalftimeShow #HalftimeHeat"
"real","A giant entertainment complex complete with #Cinemas , live performance venues and sports facilities will be built in #Riyadh, #SaudiArabia, @EntertainKSA announced Wednesday.\n\nhttps://t.co/piJx4O8ntA https://t.co/3xEwxF1ssa"
"real","THE three decades ban on cinemas in Saudi Arabia was lifted in December 2017. It has been a year, but this positive step by Saudi government is still attracting a lot of attention from global media outlets. https://t.co/P8Ofx6Dw3u"
"real","#Netfilx pulled an episode of the comedy show “Patriot Act with #Hasan Minhaj” from its Internet #streaming service in #Saudi Arabia after kingdom officials complained, multiple media outlets reported #Tuesday .\n\n#MNA_English #MNA #Anglophones https://t.co/7vIDyKPiNo"
"fake","Given he did kidnap him last time, this isn’t actually funny https://t.co/upZMzkAJNA"
"fake","#WashingtonPost used its media platform to facilitate #Khashoggi 's mission of working for #Qatar interests"
"fake","@LACaldwellDC @SenMajLdr I would like to declare a National Emergency that Jared Kushner is still out there walking around free ..\n\n#Khashoggi"
"fake","INCREDIBLY heavy gunfire now in #Riyadh. \n\nhttps://t.co/J4X35HMLLX"
"fake","EA on @AJEnglish's Inside Story: Will US Step Away from #Saudi Arabia Over #Yemen? (@ScottLucas_EA, @AdamMBaron, @ShakdamC) \n\nhttps://t.co/Glt6bSySdI  https://t.co/IkkLxep32s"
"real","Saudi Crown Prince Mohammed bin Salman plans to launch a $425 billion infrastructure plan on Monday https://t.co/f3byHD3QVz vía @markets"
"real","#Pakistani students can gain admission at all #Saudi universities in any subject of their choice. A total of 250 students would be selected for scholarships and the remainder would be selected next year https://t.co/quV2XVwp3A https://t.co/IGUa5jOu1e"
"real","Since October 2018 #SaudiArabia sent 8 requests to #Turkey asking for evidence regarding #Khashoggi incident and received nothing! If Turkey seeks justice they should cooperate. https://t.co/ge2BbfCYr3"
"fake","MBS is running Saudi Arabia like a man who got away with murder.  #saudiarabia #mbs https://t.co/C50X0Ov7qJ"
"fake","#PopeFrancis will be the first #pontiff to visit the #Arabian peninsula, the birthplace of #Islam, when he celebrates mass this week in front of an expected 120,000 people in #AbuDhabi !\n\nbut... \n\nthe #UAE is a member of the #Saudi-led 'bloody' coalition in the war in #Yemen !"
"real","#Saudi Arabia’s Prince Khaled reveals winners of the 2019 King Faisal Prize - https://t.co/28oibDTWA7"
"real","#Thailand halts plan to expel #Saudi woman fleeing family.\nhttps://t.co/KJ1cS11Q2W"
"fake","Saudi women activists are being held in jail, tortured and threatened with rape. Join the call to celebrities like Jay-Z, Trevor Noah, and more to join the cultural boycott of Saudi Arabia, and bring an end to this crazy crackdown on human rights! https://t.co/pEi3zAJWfn"
"fake","Paul Casey has revealed he has turned down the opportunity to play in the European Tour’s inaugural event in Saudi Arabia this week because of HUMAN RIGHTS VIOLATIONS. When will US, UK stop supplying arms to the kingdom because of HUMAN RIGHTS VIOLATIONS?\nhttps://t.co/7oPrEGaXeY https://t.co/JB1EkE0csM"
"real","Manchester United’s Avram Glazer is set to visit Saudi Arabia next month as part of previous business with the Saud… https://t.co/gU4fdE4OpI"
"real","#AsianCup2019 : #Saudi Arabia storm into Round of 16 with 2-0 win over #Lebanon https://t.co/FG5IoLEtmo"
"real","2019 will be a milestone year in #NEOM’s journey, via @Saudi_Gazette (pic: #KlausKleinfeld, Adviser to the #Saudi gov't)\nhttps://t.co/rcTy0pVCoW\n#CTW19 #KSA #SaudiArabia #Vision2030 https://t.co/ZYro010fI9"
"fake","#Yemen children appeal world conscience to stop the coalition led by #Saudi to embargo kills them on #Yemen ."
"real","250 #Caves Were Discovered In #Saudi And They'll Soon Be Open To #Tourists Following A Major Revamp\nhttps://t.co/KWpMwKaeKd https://t.co/cm4BS41yXm"
"fake","Mohammed bin Salman Is Running Saudi Arabia Like a Man Who Got Away With Murder https://t.co/i7AGdELYRo via @theintercept https://t.co/qWRCS253ek"
"fake","4/+\nTo reward @MBuhari for the murder of more than one thousand innocent children, women and men in Zaria, the savage Saudi king Salman opened the Door of the Ka'aba for him and the illiterate Buhari stupidly thought it was the gate of Heaven that was opened. @IntlCrimCourt https://t.co/ZB9FMIyPRL"
"real","Saudi Market Daily Report 02/01/2019\nhttps://t.co/aRZQtUMDCs \n#Tadawul #Tasi #KSA #Saudi https://t.co/54RErdNPQr"
"fake","Was glued to my desk/PC for most part of the arvo @ work watching the #saverahaf saga unfold 😔 \n\n18yo @rahaf84427714 faces danger if sent bk 2her #Saudi family. Now being held against her will in #Bangkok, #Thai authorities are blocking #UNHCR from assessing her asylum request. https://t.co/1HFmE0ZJPH"
"real","The #Saudi #HumanRights Commission attended the first session held by the criminal court to sue the indicted by the general prosecution in the murder of late citizen #JamalKhashoggi\n\nhttps://t.co/0T5jOTiqa9"
"real","There’s no doubt that #Khashoggi was an agent for Qatar how the Washington Post allow him to write, they are a fake media!!\n#حقيقة_عمر_عبدالعزيز_وخاشقجي\n#Qatar"
"fake","Rumors claim that King Salman bin Abdelaziz Al #Saoud would be very ill and even possibly dying. #SaudiArabia https://t.co/N41e2bYddn"
"real","#Saudi Prince #KhalidbinSalman (@kbsalsaud) posted a series of tweets on Thursday discussing #Houthis’ recruitment of children in #Yemen\n\nhttps://t.co/29eA1DnwAM"
"real","King Salman approves steps to improve health care in KSA https://t.co/BwGjeq5yGD https://t.co/yLwx9QchbZ"
"real","#Saudi women to start receiving divorce notice by text message https://t.co/zwiov6g3FP"
"real","The #Saudi ambassador to #Yemen has accused some #UN organizations of silence regarding crimes and violations by #Houthi militias, including stealing and hindering the distribution of humanitarian aid to the #Yemeni people https://t.co/8jtH8uEZkN https://t.co/Fj1GBBSDwR"
"fake","#WashingtonPost tried to extricate itself from the crisis by saying that it had no knowledge of #Khashoggi's relationship with #Qatar, noting that contacts with Qatar were known, indicating that Khashoggi's attacks on #Trump &amp; #Saudi were in line with their narrative of events. https://t.co/NGOfstlW1y"
"real","#BREAKING--#Saudi woman at Bangkok airport will not be forcibly deported: Thai official. \n\n#MNA #MNA_English #Anglophones https://t.co/eln4PJDzl8"
"fake","Saudi women activists are being held in jail, tortured and threatened with rape. Join the call to celebrities like Jay-Z, Trevor Noah, and more to join the cultural boycott of Saudi Arabia, and bring an end to this crazy crackdown on human rights! https://t.co/AIjcnqDgGq"
"fake","The horrible death of Tala and Rotana happened only 6 weeks before #Khashoggi.\nI have great doubts that MBS is behi… https://t.co/W86iaR6MIT"
"fake","""Guardianship gives men ultimate authority over women. He can control her, slap her, beat her, do whatever he wants and no one can stop him. This is causing women to dream about living elsewhere, away from where they were born and raised"" #Saudi #SaveRahaf https://t.co/8xo9GKM1MA"
"real","@AlJanadriaFest |#SDRPY Supervisor, #Saudi Amb. to #Yemen Mohamed AlJabir: There are major obstacles that confront the achievement of development in #Yemen so we created a strategy to overcome these challenges in order to provide a safe and stable environment for Yemen. https://t.co/U58MlSO1HU"
"real","#STATEMENT | The Public Prosecutor: The initial hearing for the (11) individuals indicted in the case of the murder of Jamal #Khashoggi was held in the Criminal Court of #Riyadh https://t.co/HequkX76P8"
"fake","@KarenAttiah Karen\nYou do not understand Saudi Arabia bigger than your dirty mind\nThere are 30 million Saudi Muslims standing with King Salman and Prince Mohammed bin Salman\nSo do not try"
"real","The Saudi prosecution held first hearing to trial 11 accused In a murder #Khashoggi , The prosecution demanded from Turkey response and send the evidences it claims to possess. \n\nTurkey has not responded to the Saudi government despite repeated claims that it has evidence. https://t.co/Yv6GjHs94s"
"fake","Britain's armed forces have an enviable reputation – we should not cheapen it by playing wargames with the Saudis | @NiaGriffithMP https://t.co/3sDhqaHWmn"
"real","#Digitisation contract signed in #SaudiArabia for Two Holy Mosques 🇸🇦  | #Saudi #facman #smartcities https://t.co/iNpah2G3xf"
"fake","Mariah Carey performs in Saudi Arabia despite calls for boycott over human rights concerns https://t.co/vZlcLEDjVH"
"real","Mediation reports issued by Amicable Settlement Departments of labor offices are now recognized as “enforceable documents” that can be directly filed to the enforcement judiciary, revealed the #Saudi Ministry of Justice (MoJ).\n\nhttps://t.co/jjCKHU4ur4"
"real","According to Mike Knights' new report, the #Houthi-s have constructed 100 new barriers and dug 50 new trenches in direct contravention of the #Stockholm ceasefire agreements, while targeting #Saudi-led coalition rubble-clearing vehicles. Must read. \n\nhttps://t.co/jacW9weBD6"
"fake","In which ⁦@NickKristof⁩ calls for Congress to take action to help detained #Saudi women’s rights activists and proposes one of them, who has reportedly been water boarded in prison, to receive the Nobel Peace Prize https://t.co/UHTNfuSQJF"
"real","#Saudi prosecutor seeks death penalties in #KhashoggiMurder case #JamalKashoggi https://t.co/KkNgAQHgUL"
"fake","🔴Breaking News\n#Saudi authorities release Sheikh Badr bin Ali al-Otibi after 9 months of arbitrary detention because of a tweet in which he expressed his opinion about ""wrestling"", at a time when the General Authority for Entertainment was trying to Promote it in KSA! https://t.co/Rklm9Lgzwu"
"real","🔴 Saudi Attorney general announces the Public Prosecution account\nFirst hearing of the five defendants killed #Khashoggi\nDemanding their execution\nHe also officially asked #Turkey for the fourth time to send the recordings and documents\nWhich #Erdogan refuses to hand over⁉️ https://t.co/KpzWl3Kw3M"
"real","Police are investigating the deaths of Saudi sisters, Rotana and Tala Farea, whose bodies were found in New York la… https://t.co/Y2IVmT1bGJ"
"fake","The #Saudi - led coalition blockade causes  death of more than 30,000 patients who needed to travel,  https://t.co/ZC90XTEZRo #EndYemenSiege"
"real","#Saudi prosecutor seeks death sentences as #Khashoggi murder trial opens\n\n#MNA_English \n#MNA \n#Anglophones https://t.co/uagnqEqyr8"
"real","Despite the Machiavellian explanations some Western reporters would have you believe, #Saudi-s are building schools and hospitals in #Yemen because Saudis/Yemenis are joined by an unbreakable bond of brotherhood rooted in a common faith, language and culture. 🇾🇪🇸🇦🇾🇪🇸🇦"
"fake","#Netflix pulls ‘#PatriotAct’ #episode in #SaudiArabia after it #criticized #official #account of #Khashoggi #killing \n\nContinue reading at https://t.co/BTFrzbH1DE | #Gulflance"
"real","$40-million plant producing solar cell raw material launched in #Saudi Arabia ☀🇸🇦 | #SaudiArabia #solarenergy https://t.co/wusVQdVWVY"
"fake","The #Saudi violated the laws and customs by the ongoing  #Saudi closing of Sana'a Airport and destroying of Civil Airports https://t.co/U8h4pp7Q2e"
"fake","Confirms New Details of Torture of #Saudi Women Activists as British MPs Seek Access to Prisons to Investigate https://t.co/ReCDg5onn1 #mbs https://t.co/cfG2TIf6UP"
"fake","Mohammed bin Salman Is Running Saudi Arabia Like a Man Who Got Away With Murder - \n\nSaudi Crown Prince Mohammed bin Salman arrives to meet with British Prime Minister Theresa May in London, England, on March 7, 2018.\nPhoto: Dan Kitwood /Getty Images\nLast week, Saudi Arabia’s G... https://t.co/j3N3MvrpRL"
"real","#Aramco reveals new life in old fields  https://t.co/yVzyXJrBnx #OOTT #saudi"
"fake","In #Khashoggi's apartment in Turkey, bank checks were found from #Qatar. Not surprisingly, it is Qatar that brought Khashoggi to the Washington Post and who pays him for private articles he publishes in his name. https://t.co/26GvcTaCXb"
"real","#Japan beat #Saudi Arabia 1-0 to enter the #afcasiancup quarterfinals. #AsianCup2019 https://t.co/s2cSyQj4Fp"
"fake","The so called “Saudi Feminists” like Manal &amp; Lujajn are actually funded by Qatar to paint bad picture of Saudi real reformer , MbS https://t.co/Gf2T8CG1IZ"
"real","#Qatar has funded the #WashingtonPost &amp; its editors to lead campaigns with a goal of distortion of the #Saudi image to the world &amp; they always get caught with it!."
"real","#Saudi developer of Jabal Omar secures $135-million sukuk from #Dubai's Shuaa 🇸🇦🇦🇪 | #construction #realestate https://t.co/YnvgRKEbxk"
"real","#Saudi Public Prosecution seeks death penalty for 5 as trial for 11 accused in #Khashoggi killing begins https://t.co/BF6kaRhkkX"
"fake","Oregon Senator @RonWyden asking the important questions #Khashoggi https://t.co/J7od6D8Odm"
"fake","Remember this name: Loujain (pronounced Loo-JAYNE) al-Hathloul. She is 29 years old and a courageous advocate for gender equality — so she is in a Saudi Arabian prison, and reportedly our Saudi allies have tortured her, even waterboarded her. https://t.co/rHur9YIr8s"
"real","Oil prices rise as #SaudiArabia cuts supply to United States https://t.co/E6Yw4yX3C9\n\n#energy #Saudi #USA #America #oil #gas #oilandgas #subsea #commodities #economics #markets #trading #alxcltd https://t.co/zIrRsBs6KD"
"real","Crown Prince Mohammed bin Salman said in March that #women only needed to dress modestly and were not required to wear abayas. But #Saudi women say that in practice nothing has changed, and demanded more #freedom. https://t.co/5NmTDzPkAx"
"fake","Mohammed bin Salman is running Saudi Arabia like a man who got away with murder https://t.co/PhizA9cjQy by @SarahAziza1"
"fake","What agreement exist between @realDonaldTrump  and Mohammed bin Salman and trump to keep rich Saudis from facing justice for crimes against Americans?\nhttps://t.co/wpfNdly9zH"
"real","#Saudi, #Japanese experts meet on home appliances energy efficiency\nhttps://t.co/plmieITikQ"
"real","#Saudi enforcement courts play an important role in enforcing foreign sentences and restoring financial rights. https://t.co/Vc059sJtrh"
"real","With a river that flows through it all year round, Wadi Al-Bardani is one of #SaudiArabia's most beautiful valleys. Located in #Asir, there are two #Saudi towns that call the valley home: Bin Otyafa and al-Asrat! #KSA https://t.co/eeS30N8u7G"
"real","Beautiful @Reuters photo from @AlJanadriaFest. #Saudi men fire weapons while performing a traditional dance at the cultural festival https://t.co/L3d11m4m7o https://t.co/n0KrjjPkSw"
"fake","In #Saudi Arabia, when a woman escapes from an abusive home and reports the abuse, her family can counter with a co… https://t.co/ZiHqXCpW6I"
"real","BREAKING: #Saudi General Prosecution calls for punishment of murderers of #Khashoggi https://t.co/lW8oPATEzO"
"fake","I’m glad that Mohammed Al-Amoudi is now free after facing ridiculous charges by #SaudiArabia’s Crown Prince Mohammed bin Salman. This is good news for #Ethiopia, #Sweden, and other countries where Mohammed’s businesses dominate. Thank you, @PMEthiopia. https://t.co/SwjXSs2amk"
"fake","Fearless Australian TV host says UN is useless pro-Islamic organization, dominated by worst human rights violators (Iran, Saudi Arabia, Pakistan...) https://t.co/7pj4hXR5Mh"
"real","UAE support for Saudi Arabia’s war in Yemen and its problematic record on human rights and labor violations at home will likely will get a pass from the Pope.\nhttps://t.co/yZUHhYYpwJ"
"fake","Mohammed bin Salman Is Running Saudi Arabia Like a Man Who Got Away With Murder https://t.co/uxbx7Zpa0N"
"fake","https://t.co/KqnNI7LeHh\nSaudi King Salman very ill, in ICU.\nSaudi Arabia's King Salman bin Abdulaziz Al Saud is rep… https://t.co/U41iG02iLL"
"real","King Salman receives outgoing Kuwaiti ambassador https://t.co/ydDTX9qtnO https://t.co/S85R9X18NE"
"real","@PressTV @UN liars!! #Saudi-led coalition is committed to the ceasefire agreement and didn’t launch any air strikes since they agreed."
"real","Saudi Arabia Total Oil Reserves Revised to 266.1 Billion Barrels vs. 264 Billion Barrels #OPEC #OOTT #Saudi"
"fake","The #Saudi targeting civil airports considers great violation for International Laws , and imposing a Blockade regards a war crime https://t.co/NwVHViiQ1e #EndYemenSiege"
"real","#Saudi Ministry of Commerce and Investment (⁦@SaudiMCI⁩) has announced the names of 41 men and women who have applied for #jobs through the ministry's website. https://t.co/v4lKn5K9qm"
"real","A THROWBACK #Video Shows A Proud #KingSalman Lauding His #Son Prince Sultan On His First #Space #Trip\n#الهيئة_السعودية_للفضاء \n#الأمير_سلطان_بن_سلمان\nhttps://t.co/qDFfPBc20Y https://t.co/oBlAVylhNU"
"real","#NewBlogPost Five Saudi cities have replaced 200,000 lamps to light their streets with the aim of reducing energy consumption by 77%.\n\nRead more: https://t.co/REFJSSKCj7\n\n#materials #products #dubai #tenders #procurement #business #saudi https://t.co/keLP1ljceH"
"fake","Saudi women activists are being held in jail, tortured and threatened with rape. Join the call to celebrities like Jay-Z, Trevor Noah, and more to join the cultural boycott of Saudi Arabia, and bring an end to this crazy crackdown on human rights! https://t.co/fbR8UAUtD6"
"real","#Saudi security operation kills two in #Qatif https://t.co/plRDR75OG8"
"fake","“Under male #guardianship laws, #Saudi women face systematic discrimination and are left exposed to domestic violence. With few places to turn, some undertake dangerous escape attempts to flee the country“ writes Human Rights Watch // #WomensRights https://t.co/7nzUXDi4oX"
"real","'The Kingdom has made tremendous accomplishments in the domain of “human rights.” This conforms to the great keenness of the Kingdom’s leadership to protect human rights.'\n\n[And compares critics to Joseph Goebbels] \n\nhttps://t.co/WZwUl2Ws6E"
"real","A 14-year-old student has become the youngest #Saudi to climb Mount #Kilimanjaro in northeast #Tanzania, the world’s fourth-highest peak. #Mountaineer #climbing #SaudiArabia #adventure \n\nhttps://t.co/l3FTC2Y1rw"
"fake","Rotana Farea was 22; Tala Farea was 16. They had requested asylum in the United States. The Clown Prince Mohammad B… https://t.co/PZyobLmoqk"
"real","Meet rising #Saudi model #TaleedahTamer who, at 18, has her sights set on global success. Don't miss our interview in today's issue and here https://t.co/SgHH9fU3nP #TabloidCover https://t.co/GaXy4lqZc1"
"real","BREAKING: #Saudi General Prosecution says interrogation of a number of accused continues in #JamalKhashoggi killing https://t.co/N649M6PQHw"
"fake","EXPLOSIVE!!\n\nJournalist who interviewed Lebanese prime minister Hariri in Riyadh confirms he was kidnapped and unde… https://t.co/ZUk2fcsYni"
"real","The future of #Cybersecurity was highlighted at @SNSRExpo 2018 as a key pillar. In partnership with industry leaders such as @Odyssey, #FeedbackItalia and @thalesgroup , we aim towards further growth in 2019. Shape the #Cybersecurity landscape in #Saudi https://t.co/bDhdmuAtXy https://t.co/JwgrN4ZFtn"
"real","Announcement of launching “Mohammed bin Salman’s Sanad Program"".\n\nDesigned to develop the social &amp; non-profit initiatives concerning Saudi citizens empowerment. Setting a framework for His Royal Highness charitable activities &amp; categorising them for effective development.\n\n#MbS https://t.co/8bHYS39gt3"
"real","#MohammedbinSalman paid a historic visit to the #US, which took 3 weeks. #MBS met with the US President at the #WhiteHouse. During the meeting, bilateral relations &amp; arms deals were discussed. #CrownPrince also visitted Harvard,MIT, Pyeong, Silicon Valley, and Aramco Laboratories https://t.co/Zmhg6wdB8p"
"real","Its architecture makes it stand out among the countless towers in #Jeddah, the Jeddah Islamic Developmental Bank utilizes original architectural design that makes it a wonderful landmark in the city! #KSA #SaudiArabia #Saudi https://t.co/wYy9O8IMPY"
"fake","🇬🇧| The clashes between the Saudi security forces and an organized and heavily armed group in the royal palace in R… https://t.co/vvHRiJUTVh"
"real","Five factors fueling the oil market in 2018\n\n#ArabNews #OPEC #Oil #GIQ\n#Saudi #Aramco #Saudi_Aramco\n#CrudeOil #OOTT #CrudeOil \n#OilandGas #SPAGOV\n#Faisal_Mrza\n\n@ArabNews\n\nhttps://t.co/8Az5H6WUQB"
"real","New video shows massive #Houthi missile attack on southern #Saudi Arabia https://t.co/9CbbeZedO8  #Asir #Yemen"
"real","#Aramco signs 10 agreements with local and international companies to rent 3.35 million m2 at King Salman Energy City #Spark https://t.co/uzyjX4Kgg2"
"real","$40-million plant producing solar cell raw material launched in #Saudi Arabia ☀🇸🇦 | #SaudiArabia #solarenergy https://t.co/16758p8EhZ"
"real","#Saudi Arabia’s Presidency of State Security announced on Wednesday that they carried out a preemptive operation that killed six wanted persons and the arrest of one in the eastern city of #Qatif \n\nhttps://t.co/3Op5J89yMP"
"fake","#Saudi by closing Sana'a Airports , make Civilians targets for its missils   #EndYemenSiege"
"real","#Saudi minister says kingdom is under attack by the enemies of Islam, calls for unity “until we are able to rid the country of the evil people""  https://t.co/0F8a1FpXmx"
"real","NEOM tops Saudi Arabia's 2018 megaprojects . Expand your horizons with Ziwo Cloud Call Center https://t.co/Znf9Zc26DG https://t.co/e2Qv2mzZhO \n #saudi #KSA #middleeast #saudiarabia #investments #business #venture #startup #entrepreneurship #expansion #future #gulf #GCC #success"
"real","#Saudi teen flies to #asylum in #Canada\nPrime minister grants #UN request to accept #RahafMohammedalQunun \n\n#MNA_English \n#MNA\n#Anglophones https://t.co/UMEnSBdapi"
"fake","Mohammed bin Salman Is Running Saudi Arabia Like a Man Who Got Away With Murder\n\nhttps://t.co/QU1U6RIVGg"
"real","#SaudiArabia’s #KingSalman bin Abdulaziz Al Saud has sent a written message to Sheikh Sabah Al-Ahmed Al-Jaber Al-Sabah, Emir of #Kuwait \n\nhttps://t.co/YJh1AdXuxL"
"real","$40-million plant producing solar cell raw material launched in #Saudi Arabia ☀🇸🇦 | #SaudiArabia #solarenergy https://t.co/baGn4vOYYJ"
"real","The #Saudi government reportedly complained to @NetflixMENA that the episode on @hasanminhaj's @patriotact show violated the kingdom's anti-cyber crime law. #SaudiArabia #HasanMinhaj https://t.co/IYBfDSh2rK https://t.co/lzviFyCWX4"
"fake","On the Front Line of the #Saudi War in #Yemen ? Child Soldiers from #Darfur - The New York Times\n#Sudan  https://t.co/ckFe0TVHGN"
"real","#Erdogan is releasing information in a very controlled way in regards to #Khashoggi and #Saudi - regularly pointing towards #MBS. Saudi has not faced this exposure for a long while. Vultures are circulating #Riyadh for sure. https://t.co/ws3NL3yJCw"
"real","The #Saudi Development and Reconstruction Program for #Yemen distributed 192,000 schoolbooks to children in #Yemen 🇾🇪 https://t.co/Wgsz73aiEa"
"real","#Netflix has removed the episode from #Saudi, however, it's still available on Netflix in the #UAE \n\nhttps://t.co/fc0LRYJ0rE"
"real","HAMA, SYRIA: King Salman Humanitarian Aid and Relief Centre (KSrelief) team continues to follow up its projects in Syria\n@washingtonpost @WSJ @nytimesworld @nytimes @Independent @thetimes https://t.co/FSgXXpB7pJ"
"fake","Heavy gunfire reported outside Saudi Royal Palace with rumours of attempted coup: Foreign media https://t.co/CW5cf22JNU"
"real","King Salman Inaugurates Sustainable Agricultural Rural Development Program https://t.co/L0bQGpPzQV"
"fake","A mother and her Child …A suffering in Sana'a Airport closed by the #Saudi -led coalition  https://t.co/0BBXu0AxsB #EndYemenSiege"
